Dataset,Model,Accuracy,Recall,F1 Score,Precision,AUC
Brain_gene_data,CanCell_Cap,0.9869573924798478,0.9986566597552784,0.9867431242425343,0.9870108513698814,0.9793822891031269
Brain_gene_data,Cancer_Finder,0.9817253291944125,0.9927284408492246,0.9815664641235385,0.9815420304692747,0.9795666195869277
Brain_gene_data,PreCanCell,0.7752966504781454,0.7416406272814882,0.8075809115520162,0.9080824609847441,0.9736961692579418
Brain_gene_data,SCEVAN,0.4120062083813148,0.3902628713641313,0.49542114702665385,0.8637825394435157,0.9736961692579418
Brain_gene_data,CopyKAT,0.5268111951134031,0.6544027239194173,0.6112023071934564,0.7315149448061896,0.9736961692579418
Brain_gene_data,ikarus,0.1453962849847294,0.003066320123820927,0.04099565494875371,0.8776686080486913,0.9869265943859716
Breast_gene_data,CanCell_Cap,0.8616663638015628,0.6567292885740684,0.854677350569526,0.8758416680357312,0.9536717356517501
Breast_gene_data,Cancer_Finder,0.8641877157913865,0.6823529411764706,0.8586381790046709,0.8731935492772999,0.9338165503711185
Breast_gene_data,PreCanCell,0.7988369980010903,0.48340006159531873,0.7789421363389952,0.8309401841963427,0.8661726794804836
Breast_gene_data,SCEVAN,0.19137288751590043,0.35814995388061666,0.24088845603287948,0.3871408614134052,0.8661726794804836
Breast_gene_data,CopyKAT,0.6217063419952753,0.5571128241065172,0.6882532462882035,0.9211205325322402,0.8661726794804836
Breast_gene_data,ikarus,0.7706478284572051,0.9074838312288266,0.7744311079258724,0.818316923920874,0.9110493709786703
CTC_gene_data,CanCell_Cap,0.9495798319327731,0.9420289855072463,0.9509291550347752,0.9558852227110209,0.9712381463589194
CTC_gene_data,Cancer_Finder,0.8795518207282913,0.9420289855072463,0.8763413049927016,0.8754077240652358,0.9498568616926104
CTC_gene_data,PreCanCell,0.8879551820728291,0.855072463768116,0.8946719777019718,0.9249947913049518,0.9630300590445517
CTC_gene_data,SCEVAN,0.5266106442577031,0.39416058394160586,0.5458908333975792,0.8468948555031768,0.9630300590445517
CTC_gene_data,CopyKAT,0.5266106442577031,0.39416058394160586,0.5458908333975792,0.8468948555031768,0.9630300590445517
CTC_gene_data,ikarus,0.876750700280112,0.8405797101449275,0.8845756787540336,0.9201344537815126,0.9846126319556271
Colorectal_gene_data,CanCell_Cap,0.9055142780413571,0.8603980906061425,0.9069838619355716,0.9098034084826238,0.9403688108834742
Colorectal_gene_data,Cancer_Finder,0.8856190135171426,0.8742682157975322,0.8889814296111004,0.8976660187787512,0.9295607092424067
