,Unnamed: 0,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0,0.2324585853369739,0.7675414146630261,Normal,0,1
1,1,0.2665393363043926,0.7334606636956074,Normal,0,1
2,2,0.3143214262428938,0.6856785737571062,Normal,0,1
3,3,0.3791847993978401,0.6208152006021598,Normal,0,1
4,4,0.2655469590741018,0.7344530409258982,Normal,0,1
5,5,0.2620236887909279,0.737976311209072,Normal,0,1
6,6,0.381221896919541,0.6187781030804591,Normal,0,1
7,7,0.2470044631669355,0.7529955368330644,Normal,0,1
8,8,0.2418660327344281,0.7581339672655719,Normal,0,1
9,9,0.2389558869125404,0.7610441130874597,Normal,0,1
10,10,0.2308741305651001,0.7691258694348999,Normal,0,1
11,11,0.2309520142211245,0.7690479857788755,Normal,0,1
12,12,0.3148850570832254,0.6851149429167745,Normal,0,1
13,13,0.3339635728863555,0.6660364271136445,Normal,0,1
14,14,0.3012021866127723,0.6987978133872277,Normal,0,1
15,15,0.236872950381265,0.7631270496187349,Normal,0,1
16,16,0.3312104166195225,0.6687895833804776,Normal,0,1
17,17,0.3472231724742326,0.6527768275257674,Normal,0,1
18,18,0.3263847038192208,0.6736152961807792,Normal,0,1
19,19,0.2763544257470364,0.7236455742529636,Normal,0,1
20,20,0.2858821845595558,0.7141178154404443,Normal,0,1
21,21,0.2414749842382211,0.7585250157617789,Normal,0,1
22,22,0.2663680079007256,0.7336319920992744,Normal,0,1
23,23,0.2736399710025861,0.726360028997414,Normal,0,1
24,24,0.3319782289955284,0.6680217710044715,Normal,0,1
25,25,0.2614024245161143,0.7385975754838856,Normal,0,1
26,26,0.2877756792764203,0.7122243207235797,Normal,0,1
27,27,0.240716397824153,0.759283602175847,Normal,0,1
28,28,0.3018878049101723,0.6981121950898277,Normal,0,1
29,29,0.2596938405667813,0.7403061594332188,Normal,0,1
30,30,0.2808624326717038,0.7191375673282963,Normal,0,1
31,31,0.2554454583954127,0.7445545416045872,Normal,0,1
32,32,0.252800016061852,0.747199983938148,Normal,0,1
33,33,0.3293966802006843,0.6706033197993156,Normal,0,1
34,34,0.2806313588473881,0.7193686411526119,Normal,0,1
35,35,0.27066978908264,0.72933021091736,Normal,0,1
36,36,0.3044827160235671,0.695517283976433,Normal,0,1
37,37,0.2857255654316754,0.7142744345683246,Normal,0,1
38,38,0.2750096911175689,0.7249903088824311,Normal,0,1
39,39,0.2422918182324993,0.7577081817675005,Normal,0,1
40,40,0.2649498671230565,0.7350501328769434,Normal,0,1
