,Unnamed: 0,freq_cancer,freq_non_cancer,pred_label,pred,label
0,0,0.5256619126560328,0.4743380873439671,Tumor,1,0
1,1,0.4339016565026927,0.5660983434973074,Normal,0,0
2,2,0.5518011546063195,0.4481988453936805,Tumor,1,1
3,3,0.5158742061730833,0.4841257938269167,Tumor,1,0
4,4,0.182892735694267,0.817107264305733,Normal,0,0
5,5,0.5291667232282253,0.4708332767717746,Tumor,1,0
6,6,0.1247461075673287,0.8752538924326713,Normal,0,0
7,7,0.525002524727882,0.474997475272118,Tumor,1,0
8,8,0.6429819702406265,0.3570180297593735,Tumor,1,0
9,9,0.1253640351013895,0.8746359648986105,Normal,0,0
10,10,0.4847462187021782,0.5152537812978218,Normal,0,0
11,11,0.4015641621402278,0.5984358378597722,Normal,0,0
12,12,0.4715293221363137,0.5284706778636864,Normal,0,1
13,13,0.4818201683659853,0.5181798316340145,Normal,0,0
14,14,0.6132906228793673,0.3867093771206326,Tumor,1,0
15,15,0.4263382325027647,0.5736617674972353,Normal,0,0
16,16,0.5036518383700932,0.4963481616299068,Tumor,1,0
17,17,0.4692973315194518,0.530702668480548,Normal,0,0
18,18,0.4444254231486643,0.5555745768513357,Normal,0,0
19,19,0.1234895560727124,0.8765104439272876,Normal,0,0
20,20,0.4808676283373704,0.5191323716626295,Normal,0,0
21,21,0.5171756767840401,0.4828243232159598,Tumor,1,0
22,22,0.1250736518297207,0.8749263481702793,Normal,0,0
23,23,0.6072899155334005,0.3927100844665995,Tumor,1,1
24,24,0.469329649846015,0.5306703501539849,Normal,0,0
25,25,0.4261283941333328,0.5738716058666671,Normal,0,0
26,26,0.4831023388522846,0.5168976611477155,Normal,0,0
27,27,0.1362525719440642,0.8637474280559357,Normal,0,0
28,28,0.1277396460687055,0.8722603539312944,Normal,0,0
29,29,0.466133309171894,0.533866690828106,Normal,0,0
30,30,0.4292155764247885,0.5707844235752114,Normal,0,0
31,31,0.1207846282330818,0.8792153717669181,Normal,0,0
32,32,0.4783687651146543,0.5216312348853456,Normal,0,0
33,33,0.4754633845051578,0.5245366154948422,Normal,0,0
34,34,0.4615926457162284,0.5384073542837716,Normal,0,0
35,35,0.5581146971173638,0.4418853028826362,Tumor,1,0
36,36,0.1250346423264592,0.8749653576735408,Normal,0,0
37,37,0.1225733591180817,0.8774266408819184,Normal,0,0
38,38,0.465613284020782,0.534386715979218,Normal,0,0
39,39,0.1265038748788437,0.8734961251211563,Normal,0,0
40,40,0.4807240671610452,0.5192759328389547,Normal,0,0
41,41,0.12925566687171,0.87074433312829,Normal,0,0
42,42,0.2434560252888443,0.7565439747111556,Normal,0,0
43,43,0.443031582033781,0.556968417966219,Normal,0,0
44,44,0.5166310915161624,0.4833689084838376,Tumor,1,0
45,45,0.6297205714181006,0.3702794285818994,Tumor,1,0
46,46,0.4849205569499646,0.5150794430500354,Normal,0,0
47,47,0.1256265401056948,0.8743734598943051,Normal,0,0
48,48,0.449990628422048,0.5500093715779519,Normal,0,0
49,49,0.4249279674406381,0.5750720325593619,Normal,0,0
50,50,0.5232582209893503,0.4767417790106497,Tumor,1,0
51,51,0.6014149467507139,0.3985850532492861,Tumor,1,0
52,52,0.2045848087307463,0.7954151912692536,Normal,0,0
53,53,0.4476414887026796,0.5523585112973204,Normal,0,0
54,54,0.4344461797057686,0.5655538202942314,Normal,0,0
55,55,0.1334494428475453,0.8665505571524548,Normal,0,0
56,56,0.4398807519901808,0.5601192480098192,Normal,0,0
57,57,0.4672589641902859,0.5327410358097141,Normal,0,0
58,58,0.479998709356858,0.5200012906431419,Normal,0,0
59,59,0.4370884066955193,0.5629115933044806,Normal,0,0
60,60,0.1267872578255408,0.8732127421744591,Normal,0,0
61,61,0.5422970237160615,0.4577029762839386,Tumor,1,0
62,62,0.4335571219884881,0.5664428780115118,Normal,0,0
63,63,0.4359152080102888,0.5640847919897112,Normal,0,0
64,64,0.4785513658908587,0.5214486341091412,Normal,0,0
65,65,0.5062105459351776,0.4937894540648224,Tumor,1,0
66,66,0.1222486265459734,0.8777513734540267,Normal,0,0
67,67,0.4445366942778143,0.5554633057221856,Normal,0,0
68,68,0.1231804838985463,0.8768195161014537,Normal,0,0
69,69,0.4729701692201751,0.5270298307798247,Normal,0,0
70,70,0.1823738545576192,0.8176261454423808,Normal,0,0
71,71,0.1230405093988341,0.8769594906011658,Normal,0,0
